Language,Algorithm,Input Entropy [bits/symbol],Input Size [bytes],Encode time [s],Decode time [s],Compressed Size [bytes],Entropy [bits/symbol],Average Code Length [bits/symbol],Ratio,Information Gain [bytes],Efficiency,Redundancy [bits/symbol],Stability Mean [s],Stability Min [s],Stability Max [s],Memory Usage [MiB],CPU Usage [%]
English,Huffman,4.360543687282247,94007.0,0.0072295665740966,0.0227062702178955,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0061724185943603,0.0061724185943603,0.0061724185943603,83.30078125,104.2
English,Huffman,4.360543687282247,94007.0,0.0065062046051025,0.0235340595245361,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.006601333618164,0.006601333618164,0.006601333618164,84.12109375,0.0
English,Huffman,4.360543687282247,94007.0,0.0067200660705566,0.0234675407409667,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0072746276855468,0.0072746276855468,0.0072746276855468,84.703125,0.0
English,Huffman,4.360543687282247,94007.0,0.0072145462036132,0.0239887237548828,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.006340742111206,0.006340742111206,0.006340742111206,84.703125,97.7
English,Huffman,4.360543687282247,94007.0,0.0062341690063476,0.0232470035552978,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0071563720703125,0.0071563720703125,0.0071563720703125,84.73046875,0.0
English,Huffman,4.360543687282247,94007.0,0.0074710845947265,0.0223302841186523,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0060961246490478,0.0060961246490478,0.0060961246490478,84.73046875,0.0
English,Huffman,4.360543687282247,94007.0,0.0066034793853759,0.0226271152496337,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0062048435211181,0.0062048435211181,0.0062048435211181,84.734375,97.7
English,Huffman,4.360543687282247,94007.0,0.0073339939117431,0.0237035751342773,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0067901611328125,0.0067901611328125,0.0067901611328125,84.40234375,0.0
English,Huffman,4.360543687282247,94007.0,0.0065302848815917,0.022458791732788,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0062582492828369,0.0062582492828369,0.0062582492828369,84.4375,97.7
English,Huffman,4.360543687282247,94007.0,0.00679612159729,0.0234339237213134,50228.875,0.9943355118599873,4.400203677138884,0.5343099450040955,43778.125,0.2259748831687099,3.4058681652788967,0.0068631172180175,0.0068631172180175,0.0068631172180175,84.44140625,0.0
